DestinationName
ActivTra
Actvations
Administar
AdminiTra
Arua
AruaShop
AruaShopTr
AruaTra
BodrDistDL
BodrDistTr
BTSalesTra
BTTransit
Bulaga
Bulagala
BulagalaT
BulagaTra
BulkJin V2
BulkJinja
BulkKam V2
BulkKampal
BulkTransJ
BulkTransK
Bunamwaya
BunamwyaTr
Busia
BusiaTra
Butembe
Butembe2
ButembeSal
Bwaise
BwaiseTra
Canteen
CanteenTra
Chill Room
ChillRoom
ChillTra
CommSales
CommTra
CongoTrans
D
Dispatch
Disposal
DisposalTr
DistDripL
DistDripTr
Distrbtion
DistrbTra
DripLoss
DripLosTra
Eldoret
Elegu
EleguTra
Engnerring
EngTra
Facilities
FacilTra
Farmgate
FarmgatTra
FarmgatUGX
FarmgaUGTr
FeedStore
FeedStoreT
Frozen
FrozenTra
GKMAConsub
GKMADistDL
GKMATra
GKMConTra
Gulu
GuluTra
H&S
H&STra
Hatchery
HatcheryTr
HatcheryWa
HatchTra
HighValue
HighValutr
HV Chill Room
HV-FiletTr
HV-Fillet
HV-FSkinL
HV-FSkinOn
HV-G&S
HV-SaltdTr
HV-Salted
ICT
ICTTra
Internal A
InternalTr
Jinja
Jinja V2
Jinja V3
JinjaTra
Kabalagala
KabalagalT
Kafunta
KafuntaTra
Kajjansi
KajjansiT
Kalerwe
KalerweTra
Kasangati
KasangatiT
Kasubi
KasubiTra
Katooke
KatookeTra
Kawempe
Kawempe V2
KawempeTra
Kayole
KayoleTra
KayungaRou
KayungaTra
KenTransit
Kibuli
KibuliTran
Kibuye
KibuyeTran
Kireka
KirekaTra
Kisaasi
KisaasiTra
Kisii
Kisoro
KisoroTra
Kisumu
Kitale
KyaliTra
Kyaliwajal
Kyambogo
KyambogTra
Kyanika
KyanikaTra
KyebandoDC
KyebandoR
KyebandoRT
KyebandTra
Kyengera-R
Kyengera-W
KyengTra-R
KyengTra-W
Lab
LabSamples
LabTra
Lake Ops
LakeOps
LakeOpsTra
LakeOpsW
LakeOPTra
LV Chill Room
Malaba
MalabaT
Mbale
MbaleTra
Mombasa
MombasaTra
Mpondwe
MpondweTra
MukoHatch
MukoHatTra
Mukono
MukonoDuTr
MukonoRou
MukonoTra
Mutungo
MutungoTra
Nairobi
NairobiTra
Nakuru
Namasuba
NamasubaTr
Nansana
Nansana V2
NansanaTra
Natete
Natete V2
NateteTran
Ntinda
NtindaTra
Nyahuka
NyahukaTra
Odramacaku
OdramaTra
P&D
P&DTra
Pa
Packing
PackingOC6676
Production
ProdWasteL
ProdWasteT
RC DistDrL
RC DistTra
Restaurant
RestaurTra
Retail
RetailTra
Rework
Rongo
RouteSale
RouteSales
Samples
Smoked
SmokedTra
Swift
SwiftTrans
TheOffice
TheOfficeT
Transit
Unsalted
Unsalted&S
YU Congo
YUWH001
YZ Kenya
